STUDENT NO.,Staff,LAST NAME,FIRST NAME,GENDER,DATE OF BIRTH,COUNTRY ORIGIN,COUNTRY,MOBILE,EMAIL,YEAR,STUDY LEVEL,POST GRAD.,FACULTY,COURSE,START DATE,END DATE,SESS START DATE,SESS END DATE,Length of talk (Mins),Tone or sentimental score,No. comunications, Prior awareness,No. questions student,No. questions VA,Lead Score
1,Tobias,SMITH,Emma,F,22-06-08,Turkey,United Arab Emirates,9.71564E+11,hwestiii@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
2,Edgar,JOHNSON,Olivia,F,18-03-08,Turkmenistan,United Arab Emirates,9.71525E+11,retoh@outlook.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
3,Jane,WILLIAMS,Noah,M,22-02-08,Uganda,United Arab Emirates,9.71523E+11,jaarnial@outlook.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
4,Lyric,BROWN,Liam,M,19-02-08,Ukraine,United Arab Emirates,9.71589E+11,rogerspl@yahoo.ca,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
5,Angel,JONES,Sophia,F,24-11-07,United Arab Emirates,United Arab Emirates,9.71507E+11,novanet@sbcglobal.net,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
6,Dominick,MILLER,Mason,M,06-01-08,United Kingdom,United Arab Emirates,9.71505E+11,devphil@outlook.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
7,Elaina,DAVIS,Ava,F,21-07-08,United States of America,United Arab Emirates,9.71509E+11,fluffy@icloud.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
8,Adrianna,GARCIA,Jacob,M,09-06-08,Uruguay,United Arab Emirates,9.71553E+11,lbecchi@att.net,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
9,Ruth,RODRIGUEZ,William,M,18-05-08,Uzbekistan,United Arab Emirates,9.71587E+11,satch@me.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
10,Marshall,WILSON,Isabella,F,28-01-08,"Venezuela, Bolivarian Republic of",United Arab Emirates,9.71546E+11,wainwrig@live.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
11,Miriam,MARTINEZ,Ethan,M,28-09-08,China,United Arab Emirates,9.71507E+11,johnbob@comcast.net,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
12,Diana,ANDERSON,Mia,F,22-06-08,India,United Arab Emirates,9.71524E+11,avalon@yahoo.ca,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
13,Mariana,TAYLOR,James,M,05-02-08,United States,United Arab Emirates,9.71561E+11,malin@me.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
14,Danielle,THOMAS,Alexander,M,06-11-08,Indonesia,United Arab Emirates,9.71563E+11,yamla@sbcglobal.net,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
15,Marco,HERNANDEZ,Michael,M,23-02-08,Brazil,United Arab Emirates,9.71565E+11,adamk@gmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
16,Jenna,MOORE,Benjamin,M,17-03-08,Pakistan,United Arab Emirates,9.71529E+11,wbarker@optonline.net,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
17,Joaquin,MARTIN,Elijah,M,09-04-08,Nigeria,United Arab Emirates,9.71582E+11,frostman@mac.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
18,Shelby,JACKSON,Daniel,M,14-05-08,Bangladesh,United Arab Emirates,9.71587E+11,donev@icloud.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
19,Nina,THOMPSON,Aiden,M,30-05-08,Russia,United Arab Emirates,9.71584E+11,makarow@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
20,Dante,WHITE,Logan,M,23-11-07,Japan,United Arab Emirates,9.71528E+11,stefano@live.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
21,Madeleine,LOPEZ,Matthew,M,10-03-07,Mexico,United Arab Emirates,9.71586E+11,jshirley@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Accountancy ,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
22,Andy,LEE,Abigail,F,29-08-07,Philippines,United Arab Emirates,9.71501E+11,rande@msn.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
23,Elliana,GONZALEZ,Lucas,M,22-07-07,Vietnam,United Arab Emirates,9.71502E+11,claypool@aol.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
24,Cruz,HARRIS,Jackson,M,02-03-07,Ethiopia,United Arab Emirates,9.71557E+11,jshirley@me.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
25,Ali,CLARK,Emily,F,08-12-06,Egypt,United Arab Emirates,9.71542E+11,markjugg@yahoo.ca,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
26,Amina,LEWIS,David,M,23-12-06,Germany,United Arab Emirates,9.71505E+11,willg@msn.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
27,Amiyah,ROBINSON,Oliver,M,06-01-07,Iran,United Arab Emirates,9.71508E+11,fudrucker@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
28,Finley,WALKER,Jayden,M,23-01-07,Turkey,United Arab Emirates,9.71525E+11,jguyer@mac.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
29,Chelsea,PEREZ,Joseph,M,12-01-07,Democratic Republic of the Congo,United Arab Emirates,9.71505E+11,shazow@gmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
